Year,Location,Country,Number of Participants,Submitted Papers,Accepted Papers,Acceptance Rate
2000,"Plymouth, Massachusetts",USA,88,,35,
2001,"Bloomington, Indiana",USA,100,,18,
2002,Paris,France,175,,57,
2003,"Baltimore, Maryland",USA,136,,50,
2004,Barcelona,Spain,189,,106,
2005,London,UK,180,,115,
2006,"Victoria, British Columbia",Canada,180,,96,
2007,Vienna,Austria,250,,129,
2008,"Philadelphia, Pennsylvania",USA,257,173,107,62%
2009,Kobe,Japan,308,202,148,73%
2010,Utrecht,Netherlands,245,176,110,63%
2011,"Miami, Florida",USA,238,223,133,60%
2012,Porto,Portugal,226,253,100,40%
2013,Curitiba,Brazil,158,252,96,38%
2014,Taipei,Taiwan,213,253,106,42%
2015,Málaga,Spain,280,278,114,41%
