Retrieved 4/9/2016 from,Google Scholar Top Publications — Multimedia,,
Rank,Publication,h5-index,h5-median
1,IEEE Transactions on Circuits and Systems for Video Technology,51,70
2,ACM International Conference on Multimedia,45,74
3,IEEE Transactions on Multimedia,45,58
4,IEEE International Conference on Image Processing (ICIP),38,46
5,Multimedia Tools and Applications,33,44
6,International Society for Music Information Retrieval Conference,31,46
7,Signal Processing: Image Communication,29,39
8,Journal of Visual Communication and Image Representation,28,39
9,ACM Multimedia Systems Conference (MMSys),24,48
10,IEEE International Conference on Multimedia and Expo,24,28
