Retrieved 11/10/2017 from,Google Scholar Top Publications — Music & Musicology,,
Rank,Publication,h5-index,h5-median
1,Psychology of Music,31,48
2,International Society for Music Information Retrieval Conference,29,42
3,Music Perception: An Interdisciplinary Journal,23,34
4,Journal of Research in Music Education,19,26
5,Music Educators Journal,18,26
6,Musicae Scientiae,18,24
7,Journal of New Music Research,18,23
8,International Journal of Music Education,17,24
9,New Interfaces for Musical Expression (NIME),17,22
10,Nordic Journal of Music Therapy,16,20
